"id","book","book_num","chapter","chapter_num","character","character_words","scene_description","writer","director","imdb_rating","new_scene","scene_id"
93,"Water",1,"The Boy in the Iceberg",1,"Aang","Appa's just a little tired. A little rest and he'll be soaring through the sky. You'll see.","[Katara smiles at Aang, who returns this gesture. When she wants to move back, she realizes that he is still smiling at her.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,28
94,"Water",1,"The Boy in the Iceberg",1,"Katara","Why are you smiling at me like that?","[Uncomfortably.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,28
95,"Water",1,"The Boy in the Iceberg",1,"Aang","Oh, I was smiling?","[Surprised, Katara smiles back.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,28
97,"Water",1,"The Boy in the Iceberg",1,"Iroh","I'm going to bed now.  Yep, a man needs his rest.  Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed.","[Yawns and stretches.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,29
97,"Water",1,"The Boy in the Iceberg",1,"Iroh","I'm going to bed now.  Yep, a man needs his rest.  Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed.","[After a short pause, he abandons his try at a veiled suggestion and delivers his request more clearly, his tone tired.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,29
98,"Water",1,"The Boy in the Iceberg",1,"Zuko","Because their honor didn't hinge on the Avatar's capture. Mine does. This coward's hundred years in hiding are over.",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,29
100,"Water",1,"The Boy in the Iceberg",1,"Katara","Hey.",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,30
101,"Water",1,"The Boy in the Iceberg",1,"Aang","Hey. What'cha thinkin' about?",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,30
102,"Water",1,"The Boy in the Iceberg",1,"Katara","I guess I was wondering, your being an airbender and all, if you had any idea what happened to the Avatar?",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,30
103,"Water",1,"The Boy in the Iceberg",1,"Aang","Oh, no. I didn't know him. I mean, I knew people that knew him, but I didn't. Sorry.","[He smiles weakly at Katara.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,30
